L(T-1),L(T-2),L(T-24),L(T-48),P(T-1),P(T-2),P(T-24),P(T-48),Day,Season,L(T)
9236.54,8260.11,10217.73,9404.9,2941.36,2924.51,3306.63,3030.31,0,2,9832.15
9832.15,9236.54,9334.25,7135.12,3359.37,2941.36,3221.52,2700.82,0,2,9277.03
9277.03,9832.15,9302.73,7746.87,3434.36,3359.37,4377.98,3207.19,0,2,9959
9959,9277.03,7793.95,7052.01,4169.55,3434.36,3209.4,3225.13,0,2,9207.26
9207.26,9959,6229.63,5696.35,4067.34,4169.55,2497.34,2612.05,0,2,7512.95
7512.95,9207.26,5243.75,4741.45,3153.93,4067.34,2526.59,2516.01,0,2,5312.4
5312.4,7512.95,4186.78,3968.73,2287.92,3153.93,2002.57,2026.12,0,2,4429.28
4429.28,5312.4,4962.13,4829.65,2002.61,2287.92,2007.38,2012.57,0,2,4762.83
4762.83,4429.28,5737.55,5508.85,1999.88,2002.61,1933.46,1781.82,0,2,5548.93
5548.93,4762.83,5887.84,5569.9,1916.2,1999.88,1784.99,1653.49,0,2,5690.38
5690.38,5548.93,5928.35,5835.2,1754.93,1916.2,1603.94,1577.5,0,2,5748.7
5748.7,5690.38,5889.6,5827.08,1647.07,1754.93,1560.9,1564.07,0,2,5712.08
5712.08,5748.7,6335.65,6790.93,1560.38,1647.07,1793.92,1781.67,0,2,6240.6
6240.6,5712.08,7082.73,7878.49,1799.56,1560.38,2057.95,2128.83,0,2,7004.45
7004.45,6240.6,8735.25,9198.48,1980.06,1799.56,2621.75,2692.34,0,2,8580.7
8580.7,7004.45,10371.4,10310.5,2603.44,1980.06,3243.52,3015.74,0,2,10736.78
10736.78,8580.7,10290.15,10153.08,3244.62,2603.44,3880.29,3655.55,0,2,9993.97
9993.97,10736.78,9775.9,9706.05,3980.82,3244.62,5725.91,5721.66,0,2,9085.9
9085.9,9993.97,9878.8,9350.12,5947.6,3980.82,4770.71,4105.88,0,2,9380.78
9380.78,9085.9,9465.52,8724.8,5375.43,5947.6,3950.96,3681.75,0,2,9371.18
9371.18,9380.78,8728.58,7964.28,3992.56,5375.43,4125.47,3770.9,0,2,8742.33
8742.33,9371.18,8309.03,7711.9,4301.92,3992.56,3336.2,3094.39,0,2,8556.63
8556.63,8742.33,8260.11,8307.35,3234.55,4301.92,2924.51,2964.55,0,2,9393.97
9393.97,8556.63,9236.54,9590.6,2992.86,3234.55,2941.36,2992.34,0,2,10344.79
10344.79,9393.97,9832.15,10217.73,3004.51,2992.86,3359.37,3306.63,0,2,10398.73
10398.73,10344.79,9277.03,9334.25,3614.81,3004.51,3434.36,3221.52,0,2,9428.78
9428.78,10398.73,9959,9302.73,3743.2,3614.81,4169.55,4377.98,0,2,9565.98
9565.98,9428.78,9207.26,7793.95,3912.47,3743.2,4067.34,3209.4,0,2,9114.1
9114.1,9565.98,7512.95,6229.63,4242.24,3912.47,3153.93,2497.34,0,2,7483.27
7483.27,9114.1,5312.4,5243.75,3117.46,4242.24,2287.92,2526.59,0,2,5817.63
5817.63,7483.27,4429.28,4186.78,2546.29,3117.46,2002.61,2002.57,0,2,4758.63
4758.63,5817.63,4762.83,4962.13,2007.45,2546.29,1999.88,2007.38,0,2,4726.83
4726.83,4758.63,5548.93,5737.55,1999.68,2007.45,1916.2,1933.46,0,2,5273.48
5273.48,4726.83,5690.38,5887.84,1955.9,1999.68,1754.93,1784.99,0,2,5479.8
5479.8,5273.48,5748.7,5928.35,1785.03,1955.9,1647.07,1603.94,0,2,5566.43
5566.43,5479.8,5712.08,5889.6,1751.43,1785.03,1560.38,1560.9,0,2,5623.03
5623.03,5566.43,6240.6,6335.65,1699.94,1751.43,1799.56,1793.92,0,2,5963.1
5963.1,5623.03,7004.45,7082.73,1810.49,1699.94,1980.06,2057.95,0,2,6566.95
6566.95,5963.1,8580.7,8735.25,2065.56,1810.49,2603.44,2621.75,0,2,7764.18
7764.18,6566.95,10736.78,10371.4,2620.44,2065.56,3244.62,3243.52,0,2,9709.88
9709.88,7764.18,9993.97,10290.15,3330.76,2620.44,3980.82,3880.29,0,2,8980.81
8980.81,9709.88,9085.9,9775.9,4635.33,3330.76,5947.6,5725.91,0,2,8843.74
8843.74,8980.81,9380.78,9878.8,5324.53,4635.33,5375.43,4770.71,0,2,8419.72
8419.72,8843.74,9371.18,9465.52,3903.06,5324.53,3992.56,3950.96,0,2,7980.03
7980.03,8419.72,8742.33,8728.58,3497.49,3903.06,4301.92,4125.47,0,2,7621.45
7621.45,7980.03,8556.63,8309.03,3617.57,3497.49,3234.55,3336.2,0,2,7458.2
7458.2,7621.45,9393.97,8260.11,2910.49,3617.57,2992.86,2924.51,0,2,7701
7701,7458.2,10344.79,9236.54,2772.3,2910.49,3004.51,2941.36,0,2,8590.73
8590.73,7701,10398.73,9832.15,2772.25,2772.3,3614.81,3359.37,0,2,9159.84
9159.84,8590.73,9428.78,9277.03,2933.43,2772.25,3743.2,3434.36,0,2,8087.68
8087.68,9159.84,9565.98,9959,3138.33,2933.43,3912.47,4169.55,0,2,9399.79
9399.79,8087.68,9114.1,9207.26,4477.06,3138.33,4242.24,4067.34,0,2,8939.99
8939.99,9399.79,7483.27,7512.95,3954.79,4477.06,3117.46,3153.93,0,2,6071.87
6071.87,8939.99,5817.63,5312.4,2397.43,3954.79,2546.29,2287.92,0,2,4774.93
4774.93,6071.87,4758.63,4429.28,2166.25,2397.43,2007.45,2002.61,0,2,4120.9
4120.9,4774.93,4726.83,4762.83,2175.68,2166.25,1999.68,1999.88,0,2,4820.78
4820.78,4120.9,5273.48,5548.93,2055.32,2175.68,1955.9,1916.2,0,2,4534.53
