L(T-1),L(T-2),L(T-24),L(T-48),P(T-1),P(T-2),P(T-24),P(T-48),Day,Season,L(T)
8384.15,8507.4,7095.25,8127.9,3279.1,3305.95,2738.23,2958.37,0,1,8600.48
8600.48,8384.15,7350.88,8483.23,3143.59,3279.1,2793.04,2979.41,0,1,8955.43
8955.43,8600.48,8522.95,8833.45,3147.52,3143.59,3021.72,3259.19,0,1,10059.35
10059.35,8955.43,10313.23,9946.5,3320.77,3147.52,3069.64,3264.55,0,1,11383.18
11383.18,10059.35,10270.11,9629.1,3497.58,3320.77,2949.39,2902.08,0,1,10877.53
10877.53,11383.18,9199.2,7421.73,3428.12,3497.58,2988.29,2742.14,0,1,9438.03
9438.03,10877.53,8692.5,7201.18,3151.63,3428.12,3674.67,2535.91,0,1,8780.08
8780.08,9438.03,8888.73,7174.78,3272.01,3151.63,3654.16,2449.78,0,1,9215
9215,8780.08,10038.11,6729.33,3270.53,3272.01,3444.58,2563.31,0,1,10142.24
10142.24,9215,10902.32,6833.18,3223.72,3270.53,3390.81,2585.16,0,1,10512.38
10512.38,10142.24,10467.55,6573.05,3064.07,3223.72,3047.23,2503.82,0,1,10273.1
10273.1,10512.38,11910.03,7050.73,2906.01,3064.07,3174.09,2644.63,0,1,11566.83
11566.83,10273.1,12418.83,8197.95,2979.31,2906.01,3580.46,2775.66,0,1,12360.85
12360.85,11566.83,11696.9,8733,3206.03,2979.31,5062.74,2901.75,0,1,11376.28
11376.28,12360.85,9518.25,8550.26,3812.92,3206.03,6450.42,2898.1,0,1,9458.73
9458.73,11376.28,8234.5,7791.2,4403.41,3812.92,4899.97,2732.94,0,1,8134.95
8134.95,9458.73,8728.83,9478.28,3839.76,4403.41,5701.41,3150.72,0,1,7847.68
7847.68,8134.95,8648.23,10029.23,4277,3839.76,5339.27,3399.58,0,1,7856.1
7856.1,7847.68,8294.53,9633.03,4305.23,4277,5786.87,3799.44,0,1,7985.93
7985.93,7856.1,7479.85,9110.25,3937.03,4305.23,6877.02,3570.5,0,1,7065.41
7065.41,7985.93,7408.4,8896,3425.31,3937.03,6503.09,3411.76,0,1,6772.03
6772.03,7065.41,8404.53,8514.38,3437.41,3425.31,3605.02,3157.14,0,1,8400.49
8400.49,6772.03,8507.4,7860.98,3701.9,3437.41,3305.95,3023.7,0,1,8020.88
8020.88,8400.49,8384.15,7385.58,3329.6,3701.9,3279.1,2877.53,0,1,7058.23
7058.23,8020.88,8600.48,7095.25,3238.46,3329.6,3143.59,2738.23,0,1,6874
6874,7058.23,8955.43,7350.88,3145.33,3238.46,3147.52,2793.04,0,1,7138.22
7138.22,6874,10059.35,8522.95,3181.94,3145.33,3320.77,3021.72,0,1,8130.6
8130.6,7138.22,11383.18,10313.23,3334.17,3181.94,3497.58,3069.64,0,1,9264.24
9264.24,8130.6,10877.53,10270.11,3254.62,3334.17,3428.12,2949.39,0,1,8819.47
8819.47,9264.24,9438.03,9199.2,3160.52,3254.62,3151.63,2988.29,0,1,7436.96
7436.96,8819.47,8780.08,8692.5,3067.38,3160.52,3272.01,3674.67,0,1,6606.7
6606.7,7436.96,9215,8888.73,3350.46,3067.38,3270.53,3654.16,0,1,6540.6
6540.6,6606.7,10142.24,10038.11,3355.13,3350.46,3223.72,3444.58,0,1,7050.69
7050.69,6540.6,10512.38,10902.32,3275.21,3355.13,3064.07,3390.81,0,1,7104.65
7104.65,7050.69,10273.1,10467.55,3110.35,3275.21,2906.01,3047.23,0,1,6990.4
6990.4,7104.65,11566.83,11910.03,2894.73,3110.35,2979.31,3174.09,0,1,8474.14
8474.14,6990.4,12360.85,12418.83,3016.87,2894.73,3206.03,3580.46,0,1,9838.52
9838.52,8474.14,11376.28,11696.9,3240.31,3016.87,3812.92,5062.74,0,1,9897.7
9897.7,9838.52,9458.73,9518.25,4029.48,3240.31,4403.41,6450.42,0,1,8999.89
8999.89,9897.7,8134.95,8234.5,4494.82,4029.48,3839.76,4899.97,0,1,7311.33
7311.33,8999.89,7847.68,8728.83,4286.92,4494.82,4277,5701.41,0,1,7581.52
7581.52,7311.33,7856.1,8648.23,4821,4286.92,4305.23,5339.27,0,1,7600.69
7600.69,7581.52,7985.93,8294.53,4034.26,4821,3937.03,5786.87,0,1,7618.63
7618.63,7600.69,7065.41,7479.85,3922.2,4034.26,3425.31,6877.02,0,1,7421.55
7421.55,7618.63,6772.03,7408.4,4052.12,3922.2,3437.41,6503.09,0,1,7636.73
7636.73,7421.55,8400.49,8404.53,3932.13,4052.12,3701.9,3605.02,0,1,9589.58
9589.58,7636.73,8020.88,8507.4,3957.96,3932.13,3329.6,3305.95,0,1,9304.38
9304.38,9589.58,7058.23,8384.15,3531.24,3957.96,3238.46,3279.1,0,1,8603.1
8603.1,9304.38,6874,8600.48,3426.08,3531.24,3145.33,3143.59,0,1,8173.5
8173.5,8603.1,7138.22,8955.43,3315.57,3426.08,3181.94,3147.52,0,1,8289.3
8289.3,8173.5,8130.6,10059.35,3365.15,3315.57,3334.17,3320.77,0,1,9358.68
9358.68,8289.3,9264.24,11383.18,3454.16,3365.15,3254.62,3497.58,0,1,10625.85
10625.85,9358.68,8819.47,10877.53,3564.61,3454.16,3160.52,3428.12,0,1,10639.88
10639.88,10625.85,7436.96,9438.03,3504.45,3564.61,3067.38,3151.63,0,1,8782.43
8782.43,10639.88,6606.7,8780.08,3300.82,3504.45,3350.46,3272.01,0,1,7750.67
7750.67,8782.43,6540.6,9215,3329.99,3300.82,3355.13,3270.53,0,1,7925.3
7925.3,7750.67,7050.69,10142.24,3293.06,3329.99,3275.21,3223.72,0,1,8228.7
8228.7,7925.3,7104.65,10512.38,3268.05,3293.06,3110.35,3064.07,0,1,8094.39
8094.39,8228.7,6990.4,10273.1,3055.04,3268.05,2894.73,2906.01,0,1,7848.32
7848.32,8094.39,8474.14,11566.83,2909.7,3055.04,3016.87,2979.31,0,1,9746.73
9746.73,7848.32,9838.52,12360.85,2997.39,2909.7,3240.31,3206.03,0,1,11250.68
11250.68,9746.73,9897.7,11376.28,3084.03,2997.39,4029.48,3812.92,0,1,10652.68
10652.68,11250.68,8999.89,9458.73,3242.53,3084.03,4494.82,4403.41,0,1,8940.6
8940.6,10652.68,7311.33,8134.95,3242.65,3242.53,4286.92,3839.76,0,1,8341.8
8341.8,8940.6,7581.52,7847.68,3644.74,3242.65,4821,4277,0,1,8750.65
8750.65,8341.8,7600.69,7856.1,4454.55,3644.74,4034.26,4305.23,0,1,9183.51
9183.51,8750.65,7618.63,7985.93,4095.29,4454.55,3922.2,3937.03,0,1,9049.82
9049.82,9183.51,7421.55,7065.41,4349.15,4095.29,4052.12,3425.31,0,1,8281.08
8281.08,9049.82,7636.73,6772.03,3637.79,4349.15,3932.13,3437.41,0,1,8041.75
8041.75,8281.08,9589.58,8400.49,3999.37,3637.79,3957.96,3701.9,0,1,9275.2
9275.2,8041.75,9304.38,8020.88,4648.57,3999.37,3531.24,3329.6,0,1,8714.25
8714.25,9275.2,8603.1,7058.23,3995.51,4648.57,3426.08,3238.46,0,1,8367.25
8367.25,8714.25,8173.5,6874,3680.07,3995.51,3315.57,3145.33,0,1,8376.03
8376.03,8367.25,8289.3,7138.22,3409.85,3680.07,3365.15,3181.94,0,1,8248.93
8248.93,8376.03,9358.68,8130.6,3451.6,3409.85,3454.16,3334.17,0,1,9515.23
9515.23,8248.93,10625.85,9264.24,3466.5,3451.6,3564.61,3254.62,0,1,10578.35
10578.35,9515.23,10639.88,8819.47,3874.89,3466.5,3504.45,3160.52,0,1,10589.93
10589.93,10578.35,8782.43,7436.96,3712.32,3874.89,3300.82,3067.38,0,1,8929.58
8929.58,10589.93,7750.67,6606.7,3419.68,3712.32,3329.99,3350.46,0,1,8234.95
8234.95,8929.58,7925.3,6540.6,3555.4,3419.68,3293.06,3355.13,0,1,8922.74
8922.74,8234.95,8228.7,7050.69,3519.76,3555.4,3268.05,3275.21,0,1,9007.78
9007.78,8922.74,8094.39,7104.65,3444.25,3519.76,3055.04,3110.35,0,1,8864.78
8864.78,9007.78,7848.32,6990.4,3291.51,3444.25,2909.7,2894.73,0,1,8839.65
8839.65,8864.78,9746.73,8474.14,3071.04,3291.51,2997.39,3016.87,0,1,9566.13
9566.13,8839.65,11250.68,9838.52,3059.68,3071.04,3084.03,3240.31,0,1,10762.63
10762.63,9566.13,10652.68,9897.7,3139.09,3059.68,3242.53,4029.48,0,1,10897.6
10897.6,10762.63,8940.6,8999.89,3387.35,3139.09,3242.65,4494.82,0,1,9972.95
9972.95,10897.6,8341.8,7311.33,4090.76,3387.35,3644.74,4286.92,0,1,8739.28
8739.28,9972.95,8750.65,7581.52,4426.1,4090.76,4454.55,4821,0,1,8926.9
8926.9,8739.28,9183.51,7600.69,4427.81,4426.1,4095.29,4034.26,0,1,8696.55
8696.55,8926.9,9049.82,7618.63,3767.02,4427.81,4349.15,3922.2,0,1,8844.11
8844.11,8696.55,8281.08,7421.55,4099.99,3767.02,3637.79,4052.12,0,1,7201.9
7201.9,8844.11,8041.75,7636.73,3371.87,4099.99,3999.37,3932.13,0,1,7247.54
7247.54,7201.9,9275.2,9589.58,3625.13,3371.87,4648.57,3957.96,1,1,9554.5
9554.5,7247.54,8714.25,9304.38,4369.51,3625.13,3995.51,3531.24,1,1,9614.88
9614.88,9554.5,8367.25,8603.1,3713.2,4369.51,3680.07,3426.08,1,1,9232.53
9232.53,9614.88,8376.03,8173.5,4250.19,3713.2,3409.85,3315.57,1,1,9452.58
9452.58,9232.53,8248.93,8289.3,3852.57,4250.19,3451.6,3365.15,1,1,9554.58
9554.58,9452.58,9515.23,9358.68,4117.4,3852.57,3466.5,3454.16,1,1,10356.4
10356.4,9554.58,10578.35,10625.85,3741.84,4117.4,3874.89,3564.61,1,1,10870.28
10870.28,10356.4,10589.93,10639.88,4167.91,3741.84,3712.32,3504.45,1,1,11128.02
11128.02,10870.28,8929.58,8782.43,3683.06,4167.91,3419.68,3300.82,1,1,9537.93
9537.93,11128.02,8234.95,7750.67,3321.91,3683.06,3555.4,3329.99,1,1,8142.75
8142.75,9537.93,8922.74,7925.3,3293.36,3321.91,3519.76,3293.06,1,1,7986.98
7986.98,8142.75,9007.78,8228.7,3117.41,3293.36,3444.25,3268.05,1,1,8700.93
8700.93,7986.98,8864.78,8094.39,3015.55,3117.41,3291.51,3055.04,1,1,8617.45
8617.45,8700.93,8839.65,7848.32,2867.88,3015.55,3071.04,2909.7,1,1,8534.7
8534.7,8617.45,9566.13,9746.73,2578.99,2867.88,3059.68,2997.39,1,1,10051.15
10051.15,8534.7,10762.63,11250.68,2869.77,2578.99,3139.09,3084.03,1,1,11940.78
11940.78,10051.15,10897.6,10652.68,3117.19,2869.77,3387.35,3242.53,1,1,11265.48
11265.48,11940.78,9972.95,8940.6,3224.05,3117.19,4090.76,3242.65,1,1,9469.63
9469.63,11265.48,8739.28,8341.8,3274.3,3224.05,4426.1,3644.74,1,1,7964.08
7964.08,9469.63,8926.9,8750.65,3225.58,3274.3,4427.81,4454.55,1,1,8589.85
8589.85,7964.08,8696.55,9183.51,3475.05,3225.58,3767.02,4095.29,1,1,8433.88
8433.88,8589.85,8844.11,9049.82,3404.69,3475.05,4099.99,4349.15,1,1,8730.87
8730.87,8433.88,7201.9,8281.08,3921.8,3404.69,3371.87,3637.79,1,1,8674.38
8674.38,8730.87,7247.54,8041.75,3465.71,3921.8,3625.13,3999.37,1,1,8691.84
8691.84,8674.38,9554.5,9275.2,4356.6,3465.71,4369.51,4648.57,0,1,10380.53
10380.53,8691.84,9614.88,8714.25,5597.87,4356.6,3713.2,3995.51,0,1,9889.65
9889.65,10380.53,9232.53,8367.25,4205.46,5597.87,4250.19,3680.07,0,1,9852.56
9852.56,9889.65,9452.58,8376.03,3640.54,4205.46,3852.57,3409.85,0,1,10067.63
10067.63,9852.56,9554.58,8248.93,3477.22,3640.54,4117.4,3451.6,0,1,10443.73
10443.73,10067.63,10356.4,9515.23,3703.62,3477.22,3741.84,3466.5,0,1,10868.68
10868.68,10443.73,10870.28,10578.35,3806.94,3703.62,4167.91,3874.89,0,1,11342.73
11342.73,10868.68,11128.02,10589.93,4538.65,3806.94,3683.06,3712.32,0,1,10553.48
10553.48,11342.73,9537.93,8929.58,4187.4,4538.65,3321.91,3419.68,0,1,9902.6
9902.6,10553.48,8142.75,8234.95,3399.41,4187.4,3293.36,3555.4,0,1,9271.05
9271.05,9902.6,7986.98,8922.74,3602.07,3399.41,3117.41,3519.76,0,1,9612.29
9612.29,9271.05,8700.93,9007.78,3617.4,3602.07,3015.55,3444.25,0,1,10343.91
10343.91,9612.29,8617.45,8864.78,3306.25,3617.4,2867.88,3291.51,0,1,10143.8
10143.8,10343.91,8534.7,8839.65,3096.96,3306.25,2578.99,3071.04,0,1,10062.1
10062.1,10143.8,10051.15,9566.13,2995.62,3096.96,2869.77,3059.68,0,1,11020.78
11020.78,10062.1,11940.78,10762.63,3137.17,2995.62,3117.19,3139.09,0,1,11603.94
11603.94,11020.78,11265.48,10897.6,3360.46,3137.17,3224.05,3387.35,0,1,11535.4
11535.4,11603.94,9469.63,9972.95,3693.1,3360.46,3274.3,4090.76,0,1,10036.7
10036.7,11535.4,7964.08,8739.28,4582.67,3693.1,3225.58,4426.1,0,1,8744.75
8744.75,10036.7,8589.85,8926.9,5292.64,4582.67,3475.05,4427.81,0,1,8388.1
8388.1,8744.75,8433.88,8696.55,6356.68,5292.64,3404.69,3767.02,0,1,8461.18
8461.18,8388.1,8730.87,8844.11,5231.3,6356.68,3921.8,4099.99,0,1,8744.15
8744.15,8461.18,8674.38,7201.9,5244.43,5231.3,3465.71,3371.87,0,1,8661.28
8661.28,8744.15,8691.84,7247.54,4193.35,5244.43,4356.6,3625.13,0,1,8330.3
8330.3,8661.28,10380.53,9554.5,5102.31,4193.35,5597.87,4369.51,0,1,9188.83
9188.83,8330.3,9889.65,9614.88,5204.05,5102.31,4205.46,3713.2,0,1,8971.45
8971.45,9188.83,9852.56,9232.53,4186.7,5204.05,3640.54,4250.19,0,1,8823.22
8823.22,8971.45,10067.63,9452.58,3696.9,4186.7,3477.22,3852.57,0,1,8968.61
8968.61,8823.22,10443.73,9554.58,3406.1,3696.9,3703.62,4117.4,0,1,9400.39
9400.39,8968.61,10868.68,10356.4,3474.32,3406.1,3806.94,3741.84,0,1,10154.82
10154.82,9400.39,11342.73,10870.28,3700.04,3474.32,4538.65,4167.91,0,1,10250.67
10250.67,10154.82,10553.48,11128.02,4722.55,3700.04,4187.4,3683.06,0,1,9837.15
9837.15,10250.67,9902.6,9537.93,4873.8,4722.55,3399.41,3321.91,0,1,9509.51
9509.51,9837.15,9271.05,8142.75,3592.81,4873.8,3602.07,3293.36,0,1,8409.05
8409.05,9509.51,9612.29,7986.98,3793.94,3592.81,3617.4,3117.41,0,1,8988.51
8988.51,8409.05,10343.91,8700.93,3636.93,3793.94,3306.25,3015.55,0,1,9790.05
9790.05,8988.51,10143.8,8617.45,3133.93,3636.93,3096.96,2867.88,0,1,9559.42
9559.42,9790.05,10062.1,8534.7,2974.56,3133.93,2995.62,2578.99,0,1,8858.33
8858.33,9559.42,11020.78,10051.15,2734.48,2974.56,3137.17,2869.77,0,1,10170.48
10170.48,8858.33,11603.94,11940.78,2989.85,2734.48,3360.46,3117.19,0,1,11393.7
11393.7,10170.48,11535.4,11265.48,3402.23,2989.85,3693.1,3224.05,0,1,10947.45
10947.45,11393.7,10036.7,9469.63,3717.24,3402.23,4582.67,3274.3,0,1,9230.99
9230.99,10947.45,8744.75,7964.08,3454.78,3717.24,5292.64,3225.58,0,1,7745.35
7745.35,9230.99,8388.1,8589.85,3283.18,3454.78,6356.68,3475.05,0,1,8004.6
8004.6,7745.35,8461.18,8433.88,3829.9,3283.18,5231.3,3404.69,0,1,8368.65
8368.65,8004.6,8744.15,8730.87,3577.69,3829.9,5244.43,3921.8,0,1,8294.31
8294.31,8368.65,8661.28,8674.38,3654.07,3577.69,4193.35,3465.71,0,1,7408.5
7408.5,8294.31,8330.3,8691.84,3314.9,3654.07,5102.31,4356.6,0,1,7987.48
7987.48,7408.5,9188.83,10380.53,3742.08,3314.9,5204.05,5597.87,0,1,8960.15
8960.15,7987.48,8971.45,9889.65,5500.27,3742.08,4186.7,4205.46,0,1,8998.9
8998.9,8960.15,8823.22,9852.56,4435.74,5500.27,3696.9,3640.54,0,1,8649.15
8649.15,8998.9,8968.61,10067.63,4802.86,4435.74,3406.1,3477.22,0,1,8693.28
8693.28,8649.15,9400.39,10443.73,4481.29,4802.86,3474.32,3703.62,0,1,8918.1
8918.1,8693.28,10154.82,10868.68,4821.65,4481.29,3700.04,3806.94,0,1,9563.13
9563.13,8918.1,10250.67,11342.73,5150.18,4821.65,4722.55,4538.65,0,1,10500.13
10500.13,9563.13,9837.15,10553.48,4925.24,5150.18,4873.8,4187.4,0,1,11248.89
11248.89,10500.13,9509.51,9902.6,4399.85,4925.24,3592.81,3399.41,0,1,9565.97
9565.97,11248.89,8409.05,9271.05,3760.5,4399.85,3793.94,3602.07,0,1,8278.23
8278.23,9565.97,8988.51,9612.29,4162.99,3760.5,3636.93,3617.4,0,1,8739.69
8739.69,8278.23,9790.05,10343.91,3821.99,4162.99,3133.93,3306.25,0,1,9662.62
9662.62,8739.69,9559.42,10143.8,3399.94,3821.99,2974.56,3096.96,0,1,10303.95
10303.95,9662.62,8858.33,10062.1,3199.25,3399.94,2734.48,2995.62,0,1,10163.95
10163.95,10303.95,10170.48,11020.78,3059.75,3199.25,2989.85,3137.17,0,1,10683.28
10683.28,10163.95,11393.7,11603.94,3305.94,3059.75,3402.23,3360.46,0,1,10667.29
10667.29,10683.28,10947.45,11535.4,4086.59,3305.94,3717.24,3693.1,0,1,9991.55
9991.55,10667.29,9230.99,10036.7,3998.42,4086.59,3454.78,4582.67,0,1,7793.64
7793.64,9991.55,7745.35,8744.75,3501.19,3998.42,3283.18,5292.64,0,1,7221.23
7221.23,7793.64,8004.6,8388.1,4654.26,3501.19,3829.9,6356.68,0,1,7946
7946,7221.23,8368.65,8461.18,5467.69,4654.26,3577.69,5231.3,0,1,8559.51
8559.51,7946,8294.31,8744.15,5528.19,5467.69,3654.07,5244.43,0,1,8289.55
8289.55,8559.51,7408.5,8661.28,5925.56,5528.19,3314.9,4193.35,0,1,7669.87
7669.87,8289.55,7987.48,8330.3,5202.6,5925.56,3742.08,5102.31,0,1,7668.25
7668.25,7669.87,8960.15,9188.83,5002.42,5202.6,5500.27,5204.05,0,1,7382.6
7382.6,7668.25,8998.9,8971.45,6275.46,5002.42,4435.74,4186.7,0,1,7260.8
7260.8,7382.6,8649.15,8823.22,6087.49,6275.46,4802.86,3696.9,0,1,7406.1
7406.1,7260.8,8693.28,8968.61,5355.48,6087.49,4481.29,3406.1,0,1,7318.9
7318.9,7406.1,8918.1,9400.39,4710.72,5355.48,4821.65,3474.32,0,1,7502.58
7502.58,7318.9,9563.13,10154.82,4858.19,4710.72,5150.18,3700.04,0,1,8910.28
8910.28,7502.58,10500.13,10250.67,5487.96,4858.19,4925.24,4722.55,0,1,10306.93
10306.93,8910.28,11248.89,9837.15,5179.72,5487.96,4399.85,4873.8,0,1,10521.9
10521.9,10306.93,9565.97,9509.51,4704.71,5179.72,3760.5,3592.81,0,1,8657.04
8657.04,10521.9,8278.23,8409.05,3879.97,4704.71,4162.99,3793.94,0,1,7087.99
7087.99,8657.04,8739.69,8988.51,4025.11,3879.97,3821.99,3636.93,0,1,7360.24
7360.24,7087.99,9662.62,9790.05,3785,4025.11,3399.94,3133.93,0,1,8657.9
8657.9,7360.24,10303.95,9559.42,3366.49,3785,3199.25,2974.56,0,1,9498.18
9498.18,8657.9,10163.95,8858.33,3289.37,3366.49,3059.75,2734.48,0,1,9291.38
9291.38,9498.18,10683.28,10170.48,3084.97,3289.37,3305.94,2989.85,0,1,10033.25
10033.25,9291.38,10667.29,11393.7,3332.68,3084.97,4086.59,3402.23,0,1,10051
10051,10033.25,9991.55,10947.45,3727.52,3332.68,3998.42,3717.24,0,1,9632.8
9632.8,10051,7793.64,9230.99,4187.01,3727.52,3501.19,3454.78,0,1,8431.93
8431.93,9632.8,7221.23,7745.35,4710.56,4187.01,4654.26,3283.18,0,1,7521.07
7521.07,8431.93,7946,8004.6,4999.81,4710.56,5467.69,3829.9,0,1,8157.18
8157.18,7521.07,8559.51,8368.65,6000.34,4999.81,5528.19,3577.69,0,1,8345.96
8345.96,8157.18,8289.55,8294.31,5302.51,6000.34,5925.56,3654.07,0,1,8261.3
8261.3,8345.96,7669.87,7408.5,5730.13,5302.51,5202.6,3314.9,0,1,7076.23
7076.23,8261.3,7668.25,7987.48,6000.24,5730.13,5002.42,3742.08,0,1,7012.35
7012.35,7076.23,7382.6,8960.15,6000.54,6000.24,6275.46,5500.27,0,1,8602.23
8602.23,7012.35,7260.8,8998.9,7337.96,6000.54,6087.49,4435.74,0,1,9075.38
9075.38,8602.23,7406.1,8649.15,5875.68,7337.96,5355.48,4802.86,0,1,8892.2
8892.2,9075.38,7318.9,8693.28,5382.33,5875.68,4710.72,4481.29,0,1,8296.55
8296.55,8892.2,7502.58,8918.1,4206.81,5382.33,4858.19,4821.65,0,1,8864.8
8864.8,8296.55,8910.28,9563.13,4797.07,4206.81,5487.96,5150.18,0,1,9655.78
9655.78,8864.8,10306.93,10500.13,4372.68,4797.07,5179.72,4925.24,0,1,11168.65
11168.65,9655.78,10521.9,11248.89,4999.62,4372.68,4704.71,4399.85,0,1,11274.15
11274.15,11168.65,8657.04,9565.97,4925.65,4999.62,3879.97,3760.5,0,1,9665.83
9665.83,11274.15,7087.99,8278.23,3922.87,4925.65,4025.11,4162.99,0,1,8035.58
8035.58,9665.83,7360.24,8739.69,3803.18,3922.87,3785,3821.99,0,1,8049.02
8049.02,8035.58,8657.9,9662.62,3730.42,3803.18,3366.49,3399.94,0,1,8967.95
8967.95,8049.02,9498.18,10303.95,3336.84,3730.42,3289.37,3199.25,0,1,9604.91
9604.91,8967.95,9291.38,10163.95,3230.88,3336.84,3084.97,3059.75,0,1,9159.3
9159.3,9604.91,10033.25,10683.28,3064.04,3230.88,3332.68,3305.94,0,1,10734.01
10734.01,9159.3,10051,10667.29,3419.28,3064.04,3727.52,4086.59,0,1,11087.99
11087.99,10734.01,9632.8,9991.55,4438.84,3419.28,4187.01,3998.42,0,1,10769.25
10769.25,11087.99,8431.93,7793.64,5530.1,4438.84,4710.56,3501.19,0,1,9800.35
9800.35,10769.25,7521.07,7221.23,5839.93,5530.1,4999.81,4654.26,0,1,8466.42
8466.42,9800.35,8157.18,7946,5587.68,5839.93,6000.34,5467.69,0,1,9117.6
9117.6,8466.42,8345.96,8559.51,5800.27,5587.68,5302.51,5528.19,0,1,9279.13
9279.13,9117.6,8261.3,8289.55,5125.48,5800.27,5730.13,5925.56,0,1,9116.53
9116.53,9279.13,7076.23,7669.87,6500.69,5125.48,6000.24,5202.6,0,1,8663.9
8663.9,9116.53,7012.35,7668.25,6381.39,6500.69,6000.54,5002.42,0,1,8444.13
8444.13,8663.9,8602.23,7382.6,6916.32,6381.39,7337.96,6275.46,0,1,9471.23
9471.23,8444.13,9075.38,7260.8,4471.7,6916.32,5875.68,6087.49,0,1,9281.08
9281.08,9471.23,8892.2,7406.1,3864.14,4471.7,5382.33,5355.48,0,1,8750.05
8750.05,9281.08,8296.55,7318.9,3622.81,3864.14,4206.81,4710.72,0,1,8403.13
8403.13,8750.05,8864.8,7502.58,3472.07,3622.81,4797.07,4858.19,0,1,8838.98
8838.98,8403.13,9655.78,8910.28,3466.57,3472.07,4372.68,5487.96,0,1,10277.39
10277.39,8838.98,11168.65,10306.93,3482.33,3466.57,4999.62,5179.72,0,1,11844.21
11844.21,10277.39,11274.15,10521.9,3988.47,3482.33,4925.65,4704.71,0,1,11795.05
11795.05,11844.21,9665.83,8657.04,3867.88,3988.47,3922.87,3879.97,0,1,10104.58
10104.58,11795.05,8035.58,7087.99,3489.32,3867.88,3803.18,4025.11,0,1,8057.03
8057.03,10104.58,8049.02,7360.24,3411.68,3489.32,3730.42,3785,0,1,7895.58
7895.58,8057.03,8967.95,8657.9,3193.48,3411.68,3336.84,3366.49,0,1,8345.75
8345.75,7895.58,9604.91,9498.18,3024.69,3193.48,3230.88,3289.37,0,1,8317.95
8317.95,8345.75,9159.3,9291.38,2936.87,3024.69,3064.04,3084.97,0,1,8660.95
8660.95,8317.95,10734.01,10033.25,2865,2936.87,3419.28,3332.68,0,1,10282.8
10282.8,8660.95,11087.99,10051,3065.63,2865,4438.84,3727.52,0,1,11234.99
11234.99,10282.8,10769.25,9632.8,3527.34,3065.63,5530.1,4187.01,0,1,11101.48
11101.48,11234.99,9800.35,8431.93,3827.46,3527.34,5839.93,4710.56,0,1,10477.78
10477.78,11101.48,8466.42,7521.07,4209.59,3827.46,5587.68,4999.81,0,1,9284.13
9284.13,10477.78,9117.6,8157.18,4062.67,4209.59,5800.27,6000.34,0,1,9226.63
9226.63,9284.13,9279.13,8345.96,4265.11,4062.67,5125.48,5302.51,0,1,9417.1
9417.1,9226.63,9116.53,8261.3,4221.76,4265.11,6500.69,5730.13,0,1,9788.63
9788.63,9417.1,8663.9,7076.23,4787.85,4221.76,6381.39,6000.24,0,1,9424.8
9424.8,9788.63,8444.13,7012.35,5862.91,4787.85,6916.32,6000.54,0,1,9446.25
9446.25,9424.8,9471.23,8602.23,6430.43,5862.91,4471.7,7337.96,1,1,8106.78
8106.78,9446.25,9281.08,9075.38,4398.82,6430.43,3864.14,5875.68,1,1,7917.22
7917.22,8106.78,8750.05,8892.2,4029.34,4398.82,3622.81,5382.33,1,1,7487.39
7487.39,7917.22,8403.13,8296.55,3649.67,4029.34,3472.07,4206.81,1,1,7636.63
7636.63,7487.39,8838.98,8864.8,3452.24,3649.67,3466.57,4797.07,1,1,8098.76
8098.76,7636.63,10277.39,9655.78,3447.12,3452.24,3482.33,4372.68,1,1,9561.13
9561.13,8098.76,11844.21,11168.65,3483.64,3447.12,3988.47,4999.62,1,1,11679.02
11679.02,9561.13,11795.05,11274.15,3837.37,3483.64,3867.88,4925.65,1,1,11672.79
11672.79,11679.02,10104.58,9665.83,3592.94,3837.37,3489.32,3922.87,1,1,9445.63
9445.63,11672.79,8057.03,8035.58,3309.72,3592.94,3411.68,3803.18,1,1,8041.05
8041.05,9445.63,7895.58,8049.02,3274.41,3309.72,3193.48,3730.42,1,1,7916.95
7916.95,8041.05,8345.75,8967.95,3055.01,3274.41,3024.69,3336.84,1,1,8075.45
8075.45,7916.95,8317.95,9604.91,2924.85,3055.01,2936.87,3230.88,1,1,7843.45
7843.45,8075.45,8660.95,9159.3,2746.89,2924.85,2865,3064.04,1,1,7827.13
7827.13,7843.45,10282.8,10734.01,2578.55,2746.89,3065.63,3419.28,1,1,8877.35
8877.35,7827.13,11234.99,11087.99,2905.36,2578.55,3527.34,4438.84,1,1,9989.58
9989.58,8877.35,11101.48,10769.25,3286.62,2905.36,3827.46,5530.1,1,1,9637.29
9637.29,9989.58,10477.78,9800.35,3325,3286.62,4209.59,5839.93,1,1,8626.45
8626.45,9637.29,9284.13,8466.42,3279.78,3325,4062.67,5587.68,1,1,7472.18
7472.18,8626.45,9226.63,9117.6,3394.61,3279.78,4265.11,5800.27,1,1,7779.63
7779.63,7472.18,9417.1,9279.13,3453.81,3394.61,4221.76,5125.48,1,1,7887.2
7887.2,7779.63,9788.63,9116.53,3351.92,3453.81,4787.85,6500.69,1,1,8032.63
8032.63,7887.2,9424.8,8663.9,3783.96,3351.92,5862.91,6381.39,1,1,7471.12
7471.12,8032.63,9446.25,8444.13,3493.37,3783.96,6430.43,6916.32,1,1,7358.3
7358.3,7471.12,8106.78,9471.23,3541.82,3493.37,4398.82,4471.7,0,1,6395.47
